# Daily average weather data retrieved from meteoblue
# https://www.meteoblue.com/en/historyplus
#
date,wave,period,wind
20010119T0400,0.1,2.1,7.544153
20010119T0500,0.1,2.2,7.10873
20010119T0600,0.1,2.1,6.6883383
20010119T0700,0.1,2.1,6.666623
20010119T0800,0.1,2,6.050919
20010119T0900,0.1,1.9,4.308198
20010119T1000,0.1,1.9,4.950328
20010119T1100,0.1,1.9,5.080432
20010119T1200,0.1,1.9,4.4407887
20010119T1300,0.1,1.8,3.5107515
20010119T1400,0.1,1.9,4.632565
20010119T1500,0.1,1.9,6.467904
20010119T1600,0.1,1.9,7.77138
20010119T1700,0.1,1.9,7.951222
20010119T1800,0.1,1.9,7.808608
20010119T1900,0.1,1.9,7.827156
20010119T2000,0,1.9,7.5824976
20010119T2100,0.1,1.8,7.808609
20010119T2200,0,1.7,7.6015964
20010119T2300,0,1.7,7.2750683
20010120T0000,0,1.7,7.0678167
20010120T0100,0,1.7,7.250111
20010120T0200,0,1.7,7.7105002
20010120T0300,0,1.7,8.100278
20010120T0400,0.1,2,8.176004
20010120T0500,0.1,2.2,8.149358
20010120T0600,0.1,2.4,8.364487
20010120T0700,0.2,2.4,8.918237
20010120T0800,0.2,2.4,12.412381
20010120T0900,0.3,2.5,15.463258
20010120T1000,0.3,2.7,18.406599
20010120T1100,0.4,2.7,19.343836
20010120T1200,0.5,2.9,19.868935
20010120T1300,0.5,3.1,19.193325
20010120T1400,0.5,3.7,18.208588
20010120T1500,0.4,3.9,17.17379
20010120T1600,0.4,4,16.21174
20010120T1700,0.4,4.1,15.63114
20010120T1800,0.4,4.2,15.236538
20010120T1900,0.4,4.4,14.661824
20010120T2000,0.4,4.5,14.475201
20010120T2100,0.4,4.6,14.475201
20010120T2200,0.4,4.6,14.490218
20010120T2300,0.4,4.7,14.8705
20010121T0000,0.4,4.7,14.894856
20010121T0100,0.4,4.8,14.894856
20010121T0200,0.4,4.7,14.311491
20010121T0300,0.4,4.7,13.204842
20010121T0400,0.4,4.8,12.826049
20010121T0500,0.4,5.2,15.859074
20010121T0600,0.5,5.6,17.377335
20010121T0700,0.5,5.6,17.830374
20010121T0800,0.5,5.8,18.798294
20010121T0900,0.6,5.9,19.932692
20010121T1000,0.6,6,21.40932
20010121T1100,0.6,5.9,21.758665
20010121T1200,0.7,5.9,21.916368
20010121T1300,0.6,5.8,21.32789
20010121T1400,0.6,5.1,19.231064
20010121T1500,0.5,4.7,16.75496
20010121T1600,0.5,4.6,15.23178
20010121T1700,0.5,4.6,14.089396
20010121T1800,0.4,4.6,13.138791
20010121T1900,0.4,4.6,12.377285
20010121T2000,0.4,4.7,12.377285
20010121T2100,0.4,4.7,12.566217
20010121T2200,0.4,4.8,12.209201
20010121T2300,0.4,4.8,12.238855
20010122T0000,0.4,4.7,12.238855
20010122T0100,0.3,4.7,11.739963
20010122T0200,0.3,4.7,10.830909
20010122T0300,0.3,4.7,9.561658
20010122T0400,0.3,4.7,8.082357
20010122T0500,0.3,4.7,6.747696
20010122T0600,0.3,4.6,8.791324
20010122T0700,0.3,4.6,8.591115
20010122T0800,0.3,4.6,9.37791
20010122T0900,0.3,4.6,10.2885
20010122T1000,0.3,4.7,11.043041
20010122T1100,0.3,4.7,11.23505
20010122T1200,0.3,4.8,11.996537
20010122T1300,0.3,4.8,12.388994
20010122T1400,0.3,4.7,12.412381
20010122T1500,0.2,4.3,11.653182
20010122T1600,0.2,4.1,9.966346
20010122T1700,0.2,4,9.170745
20010122T1800,0.2,4,8.766548
20010122T1900,0.2,4,8.189296
20010122T2000,0.2,4,7.447428
20010122T2100,0.2,4,6.8964815
20010122T2200,0.2,4.1,7.047271
20010122T2300,0.2,4.1,7.047271
20010123T0000,0.2,4,6.1401267
20010123T0100,0.2,3.9,4.002873
20010123T0200,0.2,3.8,1.4500221
20010123T0300,0.1,3.8,2.745948
20010123T0400,0.2,3.5,6.193034
20010123T0500,0.2,3.3,5.1442504
20010123T0600,0.2,3.2,5.385247
20010123T0700,0.2,3.2,3.541593
20010123T0800,0.1,3.1,3.373848
20010123T0900,0.2,3,4.2060127
20010123T1000,0.2,3.2,6.0208898
20010123T1100,0.2,3,7.021503
20010123T1200,0.2,3,8.005746
